	otu_id	size_denoised	size_clustered	kingdom	domain	phyllum	class	order	family	genus	species	closest_match	percent_identity	sample
11	centroid=68284e08b5937b7477ae6c458ab663eda193ac38;size=67;;seqs=1	67	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Crustacea	Ostracoda	Cypria	Cypria_exsculpta	AB674979	99.8	Th38_18S
12	centroid=627e703537c437656d8e613b3c49c9997cb21578;size=21;;seqs=1	21	1	Eukaryota	Cryptista	Cryptophyta-Cryptophyta_X	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Cryptomonas	Cryptomonas_pyrenoidifera	KU900222	99.9	Th38_18S
13	centroid=19320058cb8f90847200a51c6636b8e7d9e52790;size=73;;seqs=2	73	2	Eukaryota	Obazoa	Opisthokonta-Metazoa	Platyhelminthes	Turbellaria	Rhabdocoela	Gyratrix	Gyratrix_hermaphroditus	AY775739	97.4	Th38_18S
14	centroid=d480483f3c65c4823141c47fd170d6cfca1d2a4d;size=93;;seqs=3	93	3	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Crustacea	Branchiopoda	Chydorus	Chydorus_sphaericus	AM490277	99.2	Th38_18S
15	centroid=d5fd5ff293421403e9552da93f5652c58c23a380;size=15;;seqs=3	15	3	Eukaryota	Obazoa	Opisthokonta-Fungi	Opisthosporidia	Microsporida	Microsporida_X	Paramicrosporidium	Paramicrosporidium_saccamoebae	MTSL01000017	88.6	Th38_18S
16	centroid=ecf11df928de75e6551868358639b69180f466f0;size=18;;seqs=2	18	2	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofilidae_X	Limnofilidae_X_sp.	DQ243993	94.5	Th38_18S
17	centroid=7b0027923713e21bc467dead2a657688271c2ffe;size=10;;seqs=1	10	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Crustacea	Maxillopoda	Bryocamptus	Bryocamptus_pygmaeus	AY627015	99.8	Th38_18S
18	centroid=36be74595b1cf082d3fcca8fc645b375911e5275;size=13;;seqs=16	13	16	Eukaryota	Obazoa	Opisthokonta-Metazoa	Annelida	Annelida_X	Annelida_XX	Cognettia	Cognettia_cognetti	GU901866	98.0	Th38_18S
19	centroid=0492c3a84f02227fe793f0b8e11a358948f788bb;size=24;;seqs=1	24	1	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Chlorophyceae	Sphaeropleales	Microsporaceae	Microspora	Microspora_sp.	AF387160	97.1	Th38_18S
20	centroid=a3d896c556e65b2f8ccf6b7e5a880fa885270226;size=14;;seqs=1	14	1	Eukaryota	TSAR	Alveolata-Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_mikimotoi	KU314866	91.4	Th38_18S
21	centroid=80b598488740e73f7fbfef94d1ab2ef370f0e694;size=12;;seqs=1	12	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Gastrotricha	Gastrotricha_X	Gastrotricha_XX	Heterolepidoderma	Heterolepidoderma_acidophilum	JN185477	95.6	Th38_18S
22	centroid=e44ca66701b5967d8ee4f37422c8d1ad65bb661b;size=11;;seqs=1	11	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Chytridiomycota	Chytridiales	Chytridiales_X	Chytridiales_XX	Chytridiales_XX_sp.	KC315826	89.4	Th38_18S
23	centroid=1481962c22363d9d1edc3adb2f290182ac859fa2;size=13;;seqs=7	13	7	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Crustacea	Maxillopoda	Bryocamptus	Bryocamptus_pygmaeus	AY627015	95.0	Th38_18S
24	centroid=064597e5c92f4198d40b72a6452d02f4b4829335;size=11;;seqs=1	11	1	Eukaryota	TSAR	Alveolata-Ciliophora	Oligohymenophorea	Peniculia	Parameciidae	Paramecium	Paramecium_sp.	LN869937	99.9	Th38_18S
25	centroid=75d828fc45d5865bd2933713c4b66cf218d40e82;size=11;;seqs=38	11	38	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Hydrurales	Hydruraceae	Hydrurus	Hydrurus_foetidus	FM955256	97.8	Th38_18S
26	centroid=a6923ab5f0b80fc80d91d2ab4502edb1747decfa;size=12;;seqs=2	12	2	Eukaryota	Archaeplastida	Streptophyta-Streptophyta_X	Klebsormidiophyceae	Klebsormidiophyceae_X	Klebsormidiophyceae_XX	Klebsormidium	Klebsormidium_flaccidum	X75520	95.9	Th38_18S
27	centroid=83fb95259c867fb15e9f096bd5e7dec88672016c;size=11;;seqs=1	11	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.	AB695514	89.7	Th38_18S
28	centroid=01998b4c3bebb900159df6578bc27928851c40ed;size=9;;seqs=20	9	20	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Trebouxiophyceae	Microthamniales	Microthamniales_X	Myrmecia	Myrmecia_bisecta	Z47209	97.4	Th38_18S
29	centroid=4ed5af3b726f4360e4b885a5b77236aff57167eb;size=9;;seqs=1	9	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.	AJ875122	98.7	Th38_18S
30	centroid=5700bb8269d13e6f1fab6308d790fff61a82db27;size=11;;seqs=17	11	17	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.	EF432529	99.1	Th38_18S
31	centroid=0e10169a05e39a5e7b3064d4aa6cdfb93f77beb6;size=9;;seqs=10	9	10	Eukaryota	Obazoa	Opisthokonta-Metazoa	Gastrotricha	Gastrotricha_X	Gastrotricha_XX	Heterolepidoderma	Heterolepidoderma_acidophilum	JN185477	99.6	Th38_18S
32	centroid=d471f4bdaab3b0c1645e957e0fe1ceb4c249c9ec;size=9;;seqs=2	9	2	Eukaryota	Obazoa	Opisthokonta-Fungi	Basidiomycota	Pucciniomycotina	Microbotryomycetes	Leucosporidium	Leucosporidium_sp.	KY306702	99.9	Th38_18S
33	centroid=cce5f2850a6a44e1600c9d0bdcb032e33582fb38;size=8;;seqs=2	8	2	Eukaryota	Obazoa	Opisthokonta-Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	EF023682	84.3	Th38_18S
34	centroid=96c6fa39e1841cad5ebfa3f6928b1a54421d5638;size=7;;seqs=2	7	2	Eukaryota	TSAR	Alveolata-Ciliophora	Oligohymenophorea	Hymenostomatia	Ophryoglenida	Ophryoglena	Ophryoglena_catenula	U17355	96.0	Th38_18S
35	centroid=47c83ddf509b25f43a7ce8fe8191acaf15789a0f;size=7;;seqs=1	7	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	DQ244018	98.6	Th38_18S
36	centroid=1e805606e918edd3a2bfaaafe219bc6c2f13f07d;size=7;;seqs=2	7	2	Eukaryota	Obazoa	Opisthokonta-Metazoa	Nematoda	Chromadorea	Chromadorea_X	Plectidae	Plectidae_sp.	AJ966508	99.4	Th38_18S
37	centroid=3d9a3b0d8016665b66bccb06fd7571c11ea7f424;size=6;;seqs=1	6	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Synurales	Synuraceae	Mallomonas	Mallomonas_annulata	JQ281516	98.2	Th38_18S
38	centroid=da211136745cfcf6417f4220b56c12b03d8c827f;size=7;;seqs=28	7	28	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Hypotrichia	Urostylidae	Uroleptus	Uroleptus_sp.	HQ219338	99.2	Th38_18S
39	centroid=2a7919b786db393a3ebca45106fe0ff5f0011759;size=7;;seqs=1	7	1	Eukaryota	Obazoa	Opisthokonta-Ichthyosporea	Ichthyophonida	Ichthyosphonida_X	Ichthyophonidae_Freshwater	Ichthyophonidae_Freshwater_X	Ichthyophonidae_Freshwater_X_sp.	HQ219425	93.8	Th38_18S
40	centroid=c94f213510b56bce2900230be91d3e8a7fb64a8b;size=7;;seqs=1	7	1	Eukaryota	TSAR	Alveolata-Ciliophora	Colpodea	Colpodea_X	Bursariomorphida	Bursariomorphida_X	Bursariomorphida_X_sp.	GU479974	99.1	Th38_18S
41	centroid=73bc6d100d5a4a1df23f6fbc50efa90866359181;size=9;;seqs=4	9	4	Eukaryota	Obazoa	Opisthokonta-Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Meliniomyces	Meliniomyces_variabilis	AY838789	98.8	Th38_18S
42	centroid=0cb3632a87dd1d65f32af6c882196a804389439c;size=6;;seqs=4	6	4	Eukaryota	Obazoa	Opisthokonta-Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Catenulostroma	Catenulostroma_germanicum	GU214518	98.7	Th38_18S
43	centroid=d7329ed787972ed44d40699494a7c97de3d1473f;size=12;;seqs=1	12	1	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Psychodiella	Psychodiella_sp.	FJ865355	86.7	Th38_18S
44	centroid=3e10085f7a947dd25c791cc2ebb3e08f9d14a609;size=5;;seqs=2	5	2	Eukaryota	TSAR	Alveolata-Chrompodellids	Colpodellidea	Colpodellida	Colpodellida_CHR1	Colpodellida_CHR1_X	Colpodellida_CHR1_X_sp.	KC315835	94.4	Th38_18S
45	centroid=75e5a2eee6331e36993921f819212bb3cc832764;size=6;;seqs=1	6	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	AB695466	99.4	Th38_18S
46	centroid=4b36a38805412af1bea9b87ee45960bfa10b6944;size=5;;seqs=11	5	11	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chloromonas	Chloromonas_sp.	HQ404890	98.9	Th38_18S
47	centroid=d6df5f6a8f0ee7e5de302c2008dc9636e887732e;size=6;;seqs=9	6	9	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.	EF432529	98.8	Th38_18S
48	centroid=62603d563fbabe480650030f513003c663945c56;size=5;;seqs=4	5	4	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Monocystis	Monocystis_sp.	EF024116	98.3	Th38_18S
49	centroid=a08eed8bb454bfab76a74d38b86809b362d0fa7a;size=5;;seqs=2	5	2	Eukaryota	TSAR	Stramenopiles-Gyrista	Peronosporomycetes	Peronosporomycetes_X	Haliphthorales	Haliphthoros	Haliphthoros_sp.	AB178865	94.7	Th38_18S
50	centroid=834b9c986c6ecb886d3512ea6ef5ace757dc955e;size=5;;seqs=4	5	4	Eukaryota	TSAR	Alveolata-Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Hemiophrys	Hemiophrys_procera	AY102175	96.6	Th38_18S
51	centroid=68125228f02319a5c9f578d2795737419337a130;size=5;;seqs=8	5	8	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Hypotrichia	Oxytrichidae	Oxytrichidae_X	Oxytrichidae_X_sp.	EF024903	97.8	Th38_18S
52	centroid=6d79bec170bd0c0cac13bbf43694e4e0543f922b;size=5;;seqs=6	5	6	Eukaryota	Obazoa	Opisthokonta-Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Cryptococcus	Cryptococcus_sp.	KC670786	96.7	Th38_18S
53	centroid=9cd6e0b992724b3fa9a09c28fa013389381b2cc0;size=5;;seqs=1	5	1	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Gregarina3	Gregarina3_sp.	GQ330638	90.9	Th38_18S
54	centroid=99edf136dc01d664f105a48f4a756b46a0472f1e;size=5;;seqs=2	5	2	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	Pinnularia_anglica	AM501980	98.5	Th38_18S
55	centroid=c32ca2fac2cac9bf270e9f257350d770527cb64a;size=5;;seqs=5	5	5	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chloromonas	Chloromonas_sp.	HQ404890	95.9	Th38_18S
56	centroid=529eef53d0b764a82b763d60af3213b11ad61c92;size=6;;seqs=1	6	1	Eukaryota	Archaeplastida	Prasinodermophyta-Prasinodermophyta_X	Prasinodermophyceae	Prasinodermales	Prasinodermaceae	Prasinoderma	Prasinoderma_singulare	MT117945	92.1	Th38_18S
57	centroid=90754d9a428ef515ad0587ef1f5c525e2782b3d7;size=4;;seqs=1	4	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Hibberdiales	Hibberdiales_X	Hibberdiales_XX	Hibberdiales_XX_sp.	AY919791	98.3	Th38_18S
58	centroid=33af8785ab0006efd33d293b082bd08158c24312;size=4;;seqs=1	4	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Acutuncus	Acutuncus_antarcticus	AB695486	99.6	Th38_18S
59	centroid=4082a0e286596c110984142fe237c1d75b458ee3;size=6;;seqs=1	6	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Crustacea	Branchiopoda	Acroperus	Acroperus_harpae	AM490272	93.6	Th38_18S
60	centroid=595a3770120c685fe1d83224ef04f2b1fd1ab1a7;size=4;;seqs=4	4	4	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Trebouxiophyceae	Trebouxiophyceae_X	Trebouxiophyceae_XX	Microthamnion	Microthamnion_kuetzingianum	Z28974	99.6	Th38_18S
61	centroid=4c6845031fa52c0742625f67943f200d9fc89045;size=4;;seqs=15	4	15	Eukaryota	Obazoa	Opisthokonta-Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Cephalodella	Cephalodella_forficula	DQ297693	99.3	Th38_18S
62	centroid=29442d7973d41cddd3dda357aa759529f29c3bfe;size=3;;seqs=1	3	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Hibberdiales	Hibberdiaceae	Chrysocapsa	Chrysocapsa_vernalis	AF123283	94.1	Th38_18S
63	centroid=60290b5984214c7fc5806ed0690f3e47957d0fd4;size=4;;seqs=1	4	1	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Hyplorynchus	Hyplorynchus_sp.	EF100319	90.9	Th38_18S
64	centroid=669dd35851ef091ddcec8d29b19725c4752cab28;size=4;;seqs=1	4	1	Eukaryota	TSAR	Stramenopiles-Bigyra	Opalozoa	Opalozoa_X	MAST-12	MAST-12C	MAST-12C_sp.	EF023211	98.5	Th38_18S
65	centroid=5206cb8a7c1e410f8f4e590ce00eb49092131066;size=5;;seqs=1	5	1	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Hexapoda	Insecta	Toxoptera	Toxoptera_citricida	AY216697	94.1	Th38_18S
66	centroid=334c7bb2e4653841ab9f38353f4f5e38225e35a6;size=3;;seqs=21	3	21	Eukaryota	TSAR	Alveolata-Ciliophora	Spirotrichea	Hypotrichia	Urostylidae	Uroleptus	Uroleptus_sp.	HQ219338	99.3	Th38_18S
67	centroid=3ff406520a2684d02266eeb7a1c770ac5c6e311c;size=3;;seqs=1	3	1	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Imbricatea	Spongomonadida	Spongomonadidae	Spongomonas	Spongomonas_minima	AF411281	94.7	Th38_18S
68	centroid=03ade1739091ad8ea7f13cc1753d6b576f01cdb0;size=3;;seqs=3	3	3	Eukaryota	Obazoa	Opisthokonta-Fungi	Chytridiomycota	Spizellomycetales	Spizellomycetales_X	Spizellomycetales_XX	Spizellomycetales_XX_sp.	KC670607	95.5	Th38_18S
69	centroid=62249f1621eea0abf1d94f983574de22d121bce3;size=3;;seqs=5	3	5	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Flectomonas	Flectomonas_ekelundi	HM536169	99.0	Th38_18S
70	centroid=24cd906d6c9ed15f050e01e64d32a3f6cf94c21a;size=9;;seqs=1	9	1	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Stenophorida	Stenophoridae	Stenophora	Stenophora_robusta	FJ459760	90.5	Th38_18S
71	centroid=8eecc0adff6b36e6a722f3c01188c8b97a67b5f6;size=4;;seqs=2	4	2	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Hexapoda	Insecta	Chironomus	Chironomus_tepperi	KC177280	94.5	Th38_18S
72	centroid=8872364525eb693b19420ce46b272fd5736b6049;size=3;;seqs=1	3	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Zoopagomycota	Kickxellomycotina	Harpellales	Mycoemilia	Mycoemilia_scoparia	AB287985	97.0	Th38_18S
73	centroid=819145f1b67e7e745305bb343f43b4c00d314b61;size=3;;seqs=1	3	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Scoliciosporum	Scoliciosporum_umbrinum	AF091587	99.4	Th38_18S
74	centroid=9fb7a327bc788b65040f2c49500a86771f600c13;size=3;;seqs=2	3	2	Eukaryota	TSAR	Alveolata-Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Ophrydium	Ophrydium_versatile	AF401526	96.6	Th38_18S
75	centroid=2edb3ec6647b0bd91f6dafb51384455f6de97067;size=2;;seqs=1	2	1	Eukaryota	TSAR	Alveolata-Ciliophora	Litostomatea	Haptoria_2	Haptoria_2_X	Chaenea	Chaenea_sp.	FJ876970	91.3	Th38_18S
76	centroid=ab32d2862dd8af0103fcb32747477939c169604c;size=4;;seqs=3	4	3	Eukaryota	Obazoa	Opisthokonta-Fungi	Chytridiomycota	Rhizophydiales	Rhizophydiales_X	Rhizophydiales_XX	Rhizophydiales_XX_sp.	GQ995413	95.8	Th38_18S
77	centroid=6743417949a1341cfb9f878aaa7ae08b5ffa50cb;size=2;;seqs=2	2	2	Eukaryota	TSAR	Alveolata-Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Sessilida_X	Sessilida_X_sp.	KX465192	93.9	Th38_18S
78	centroid=7069e35b3d973cfd844466489466e8cf7128ea43;size=2;;seqs=1	2	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Chrysophyceae	Ochromonadales	Ochromonadaceae	Acrispumella	Acrispumella_sp.	GU290068	99.4	Th38_18S
79	centroid=a0dbda5ec7f682fd1f3f37dd2058dbec229e401b;size=2;;seqs=1	2	1	Eukaryota	TSAR	Alveolata-Chrompodellids	Colpodellidea	Colpodellida	Alphamonaceae	Alphamonas	Alphamonas_sp.	JN090885	95.3	Th38_18S
80	centroid=9fdd09c5d36dcebffabe35759e818d927bf32efe;size=2;;seqs=1	2	1	Eukaryota	Excavata	Discoba-Euglenozoa	Euglenida	Euglenophyceae	Euglenaceae	Euglena	Euglena_mutabilis	KX889652	96.7	Th38_18S
81	centroid=73e2e34a7c0b7fba0c4c943aa07401d3ba27bed6;size=2;;seqs=1	2	1	Eukaryota	Obazoa	Opisthokonta-Rotosphaerida	Nucleariidea	Nucleariida	Nucleariidae_Nuclearia_1	Nucleariidae_Nuclearia_1_X	Nucleariidae_Nuclearia_1_X_sp.	GQ330607	99.6	Th38_18S
82	centroid=a208cc37f596a5d80c0ee03ef51e9623113c4ad3;size=2;;seqs=1	2	1	Eukaryota	TSAR	Stramenopiles-Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	AY256330	99.7	Th38_18S
83	centroid=b74c57c047669eabf2092cf252fe003b68818c90;size=2;;seqs=2	2	2	Eukaryota	TSAR	Alveolata-Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Leidyana2	Gregarina_tropica	FJ459749	92.2	Th38_18S
84	centroid=a02f5acac89df54b9d89751232e494e55cd2c8fc;size=2;;seqs=8	2	8	Eukaryota	Obazoa	Opisthokonta-Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Phaeosphaeria	Phaeosphaeria_nodorum	U04236	99.3	Th38_18S
85	centroid=f74e75d7370e8493c4b5d99a136058f9d6b05550;size=2;;seqs=2	2	2	Eukaryota	TSAR	Rhizaria-Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_sp.	HM536163	91.6	Th38_18S
86	centroid=e4155c5242e448d3dfd1b5c5d33970ec98f9a47a;size=2;;seqs=6	2	6	Eukaryota	Archaeplastida	Chlorophyta-Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas_applanata	MG696562	98.0	Th38_18S
87	centroid=ee949f5748fed6aa1aa94f6e18aefd742ae331ad;size=2;;seqs=16	2	16	Eukaryota	Obazoa	Opisthokonta-Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Glarea	Glarea_lozoyensis	AGUE01000316	99.4	Th38_18S
88	centroid=5facb9efe8d82074cac3f8f03e3cd12e0f3eaa5b;size=2;;seqs=1	2	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	97.0	Th38_18S
89	centroid=8ec88fdf37cace0f1da9b0b799da683585f7b403;size=2;;seqs=1	2	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.	JN054659	95.2	Th38_18S
90	centroid=f06ab0718b33c92ccec2f2e13e5064406180d47b;size=2;;seqs=8	2	8	Eukaryota	Obazoa	Opisthokonta-Metazoa	Arthropoda	Crustacea	Maxillopoda	Bryocamptus	Bryocamptus_pygmaeus	AY627015	96.6	Th38_18S
91	centroid=95863816e9e208984486b515e10563e9e8472520;size=2;;seqs=1	2	1	Eukaryota	TSAR	Stramenopiles-Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis_kerguelensis	LR812489	95.5	Th38_18S
92	centroid=4a08e2d8d5caee5fc446418ecfe9725c0369f4b7;size=4;;seqs=1	4	1	Eukaryota	Amoebozoa	Evosea-Eumycetozoa	Myxogastria_Fuscisporidia	Physarida	Didymiidae	Lepidoderma	Lepidoderma_tigrinum	DQ903678	89.7	Th38_18S
93	centroid=3d1bb5f11344d77fd2e83777071352aca8cf3af8;size=2;;seqs=1	2	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Rhizoscyphus	Rhizoscyphus_ericae	AY762621	90.1	Th38_18S
94	centroid=100fe3cd9998f865c1f3baea471f09762e44b303;size=2;;seqs=1	2	1	Eukaryota	Archaeplastida	Rhodophyta-Rhodophyta_X	Stylonematophyceae	Stylonematales	Stylonemataceae	Rhodosorus	Rhodosorus_marinus	MT117939	94.3	Th38_18S
95	centroid=f66fd681d634fa4bf874fc8b81d6714809c902df;size=2;;seqs=1	2	1	Eukaryota	Excavata	Discoba-Euglenozoa	Euglenida	Euglenida_X	Anisonemidae	Anisonema	Anisonema_sp.	KC990935	75.0	Th38_18S
96	centroid=cf2495a285b7fa5d2c1af7017fb5f930fecf3c1d;size=95;;seqs=3	95	3	Eukaryota	TSAR	Rhizaria-Cercozoa	Endomyxa	Vampyrellida	Placopodidae	Placopus	Placopus_flabellus_HR01	KY124641	99.9	Mock_18S
97	centroid=1ba0c834678c28c38ec4e071d5423105cc967070;size=1996;;seqs=34	1996	34	Eukaryota	Archaeplastida	Streptophyta-Streptophyta_X	Zygnemophyceae	Zygnemophyceae_X	Zygnemophyceae_XX	Zygnema	Zygnema_pseudogedeanum	AJ853450	99.7	Mock_18S
98	centroid=43dfa293b4c312657f124688b04544c05e6b8d0a;size=40;;seqs=1	40	1	Eukaryota	Obazoa	Opisthokonta-Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.	HQ191300	97.6	Mock_18S
99	centroid=c1c41d217565d3aba320b6fa9c3b3c6b25fb99bd;size=318;;seqs=16	318	16	Eukaryota	Archaeplastida	Streptophyta-Streptophyta_X	Zygnemophyceae	Zygnemophyceae_X	Zygnemophyceae_XX	Closterium	Closterium_sp.	LC361441	98.2	Mock_18S
